descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,mediana,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_16_emb,qtd_17_emb,qtd_18_emb,qtd_19_emb,qtd_20_emb,qtd_24_emb,qtd_25_emb,qtd_30_emb,qtd_33_emb
8136 PR PENDENTE INJ P/1 LAMP E27 L/C,256,6.095238095238095,30.0,1,20,22.42973286875726,19,4.736003892392537,42,5.0,2.0,8.75,0.0657,0.119,0.1667,0.0952,0.0476,0.1667,0.0476,0.0714,0.0238,0.0714,0.0,0.0238,0.0238,0.0476,0.0,0.0714,0.0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0
8137 MR ARANDELA C/SUP.INF.P/1L E27 L/C,15,2.142857142857143,11.0,1,6,3.142857142857143,5,1.7728105208558367,7,2.0,1.0,2.0,0.011,0.4286,0.4286,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8137 PR ARANDELA C/SUP.INF.P/1L E27 L/C,15,5.0,31.0,1,11,28.0,10,5.291502622129181,3,3.0,2.0,7.0,0.0047,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8140 BR PENDENTE P/1 LAMP E27 LENTE CRIS,5,1.25,4.0,1,2,0.25,1,0.5,4,1.0,1.0,1.25,0.0063,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8140 PR PENDENTE P/1 LAMP E27 L/C,6,2.0,2.0,2,2,0.0,0,0.0,3,2.0,2.0,2.0,0.0047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8140 PR PENDENTE P/1 LAMP E27 LENTE CRIS,53,4.416666666666667,22.0,1,14,12.992424242424244,13,3.604500553811061,12,3.0,2.0,5.25,0.0188,0.0833,0.25,0.25,0.0833,0.0833,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8141 BR ARAN SUP.INFERIOR LENTE CRISTAL,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8141 PR ARAN SUP.INFERIOR LENTE CRISTAL,9,1.8,6.0,1,3,0.7,2,0.8366600265340756,5,2.0,1.0,2.0,0.0078,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8142 PR ARAN SUP.SUPERIOR LENTE CRISTAL,7,1.75,9.0,1,4,2.25,3,1.5,4,1.0,1.0,1.75,0.0063,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8144 PR POSTE P/2 LAMP E27 LENTE CRISTAL,45,3.75,30.0,1,18,28.386363636363637,17,5.327885475154626,12,1.0,1.0,3.25,0.0188,0.5833,0.0833,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0
8145 PR BALIZADOR P/1 LAMP E27 L/C,42,8.4,69.0,1,30,149.3,29,12.218837915284743,5,3.0,2.0,6.0,0.0078,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
8145 PR BALIZADOR P/1 LAMP E27 LENTE CRI,45,4.090909090909091,24.0,1,12,16.090909090909086,11,4.011347540529128,11,2.0,1.0,6.0,0.0172,0.3636,0.1818,0.0909,0.0909,0.0,0.0,0.0,0.0909,0.0,0.0909,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8147 PR BALIZADOR L/C P/JD/ MURO P/1L,85,3.8636363636363638,25.0,1,14,17.36147186147186,13,4.166709956485075,22,2.0,2.0,3.5,0.0344,0.1818,0.5455,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0455,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8148 BR POSTE C/TUBO AL P/1 LAMP 1 METRO,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,4,2.0,2.0,2,2,0.0,0,0.0,2,2.0,2.0,2.0,0.0031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8150 BR BALIZADOR L/F P/JD E MURO P/1LAM,12,6.0,20.0,4,8,8.0,4,2.8284271247461903,2,6.0,5.0,7.0,0.0031,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8150 PR BALIZADOR L/F P/JD E MURO P/1,28,2.3333333333333335,8.0,1,5,1.5151515151515154,4,1.2309149097933274,12,2.0,1.75,3.0,0.0188,0.25,0.4167,0.1667,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8150 PR BALIZADOR L/F P/JD E MURO P/1LAM,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8151 BR BALIZADOR L/C P/JD E MURO P/1LAM,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8151 PR BALIZADOR L/C P/JD E MURO P/1LAM,19,3.1666666666666665,25.0,1,12,18.96666666666667,11,4.355073669487885,6,1.5,1.0,2.0,0.0094,0.5,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8151 PR BALIZADOR L/C P/JD MURO P/1L,47,3.6153846153846154,21.0,1,12,12.58974358974359,11,3.548202867613912,13,2.0,2.0,3.0,0.0203,0.2308,0.3846,0.1538,0.0,0.0,0.0769,0.0,0.0,0.0,0.0769,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8237 BR ARANDELA INJ P/ 1 LAMP,12,3.0,17.0,1,7,7.333333333333332,6,2.70801280154532,4,2.0,1.75,3.25,0.0063,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8237 MR ARANDELA INJ P/ 1 LAMP,23,3.2857142857142856,17.0,1,9,7.238095238095238,8,2.690370836538197,7,2.0,2.0,3.5,0.011,0.1429,0.4286,0.1429,0.1429,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8237 PR ARANDELA INJ P/ 1 LAMP,138,5.75,39.0,1,33,44.97826086956522,32,6.706583397644826,24,3.0,2.0,5.75,0.0376,0.0417,0.25,0.25,0.125,0.0833,0.0,0.0,0.0417,0.0417,0.0417,0.0417,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417
8240 PR PROJETOR AL P/1 LAMP PAR 20/30/38,12,2.4,9.0,1,4,1.8,3,1.3416407864998738,5,3.0,1.0,3.0,0.0078,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8243 PR PROJ INJ P/ 1 LA PAR 20/30/38,33,11.0,54.0,2,19,73.0,17,8.54400374531753,3,12.0,7.0,15.5,0.0047,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,22,3.6666666666666665,17.0,1,7,7.066666666666667,6,2.6583202716502514,6,3.5,1.25,5.75,0.0094,0.3333,0.1667,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244 BR ARANDELA P/1LAMP E27 LENTE TRANS,16,5.333333333333333,34.0,2,12,33.33333333333333,10,5.773502691896257,3,2.0,2.0,7.0,0.0047,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
