descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,mediana,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_16_emb,qtd_17_emb,qtd_18_emb,qtd_19_emb,qtd_20_emb,qtd_24_emb,qtd_25_emb,qtd_30_emb,qtd_33_emb
8338 PR ARANDELA INJ P/1 LAMP E27,4,1.3333333333333333,4.0,1,2,0.3333333333333333,1,0.5773502691896257,3,1.0,1.0,1.5,0.0047,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8340 PR PENDENTE INJ P/ 1 LAMP,8,2.6666666666666665,17.0,1,6,8.333333333333332,5,2.8867513459481287,3,1.0,1.0,3.5,0.0047,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8341 BR ARANDELA INJ P/ 1 LAMP,48,3.6923076923076925,25.0,1,16,17.3974358974359,15,4.171023363328945,13,2.0,2.0,3.0,0.0203,0.2308,0.3846,0.1538,0.0,0.0769,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8341 MR ARANDELA INJ P/ 1 LAMP,50,2.9411764705882355,16.0,1,11,6.558823529411766,10,2.5610200173781865,17,2.0,2.0,3.0,0.0266,0.2353,0.4118,0.1176,0.1176,0.0,0.0,0.0588,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8341 PR ARANDELA INJ P/ 1 LAMP,30,3.75,19.0,1,9,9.642857142857142,8,3.1052950170405937,8,2.0,1.75,6.25,0.0125,0.25,0.375,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8350 BR MINI TARTA P/1 LAMP S/ GRADE,3,3.0,,3,3,,0,,1,3.0,3.0,3.0,0.0016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8350 PR MINI TARTA P/1 LAMP S/ GRADE,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8351 BR MINI TARTA P/1 LAMP C/ GRADE,11,5.5,37.0,1,10,40.5,9,6.363961030678928,2,5.5,3.25,7.75,0.0031,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8351 PR MINI TARTA P/1 LAMP C/ GRADE,6,2.0,7.0,1,3,1.0,2,1.0,3,2.0,1.5,2.5,0.0047,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8383 BR ARANDELA INJ P/1 LAMP INF C/ PIN,4,2.0,2.0,2,2,0.0,0,0.0,2,2.0,2.0,2.0,0.0031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,6,2.0,7.0,1,3,1.0,2,1.0,3,2.0,1.5,2.5,0.0047,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8384 PR ARANDELA INJ P/1 LAMP SUP C/P,29,4.833333333333333,36.0,1,17,38.96666666666666,16,6.242328625334192,6,2.0,1.25,5.0,0.0094,0.3333,0.3333,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8385 BR BALIZADOR INJ P/1 LAMP,5,2.5,13.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0031,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8385 MR BALIZADOR INJ P/1 LAMP,11,2.75,15.0,1,6,5.583333333333333,5,2.362907813126304,4,2.0,1.0,3.75,0.0063,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8385 PR BALIZADOR INJ P/1 LAMP,27,3.0,21.0,1,12,12.5,11,3.5355339059327378,9,2.0,1.0,3.0,0.0141,0.4444,0.2222,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8394 BR/LC ARANDELA INJ P/1LAMP SACO PLA,13,6.5,10.0,6,7,0.5,1,0.7071067811865476,2,6.5,6.25,6.75,0.0031,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8394 PR/LC ARANDELA INJ P/1 LAMP SACO PL,54,6.75,49.0,1,24,69.92857142857143,23,8.362330502232702,8,3.5,1.0,7.5,0.0125,0.375,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
8395 BR/LC ARANDELA INJ P/1 LAMP SACO PL,5,2.5,13.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0031,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
