codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa
6884,8311/1 PR PENDENTE INJ P/1 LAMP,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
6885,8311/1 BR PENDENTE INJ P/1 LAMP,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
7023,8336 BR ARANDELA INJ P/ 1 LAMP ASPEN,177,6.103448275862069,25.0,1,24,38.45320197044335,23,6.2010645836375025,29,4.0,2.0,7.0,0.0084
7024,8336 PR ARANDELA INJ P/ 1 LAMP ASPEN,393,8.1875,32.0,1,33,61.13430851063827,32,7.818843169589621,48,5.5,2.75,12.0,0.0139
7025,8336 MR ARANDELA INJ P/ 1 LAMP ASPEN,3,1.5,4.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0006
7027,8335 BR PENDENTE INJ P/ 1 LAMP ASPEN,45,3.75,16.0,1,16,16.386363636363637,15,4.048007366144933,12,2.5,2.0,4.0,0.0035
7028,8335 PR PENDENTE INJ P/ 1 LAMP ASPEN,214,5.219512195121951,27.0,1,36,50.42560975609756,35,7.101099193512055,41,3.0,2.0,4.0,0.0119
7029,8440 BR ARAND GR INJ P/2 LAMP SAN DIEGO,10,10.0,,10,10,,0,,1,10.0,10.0,10.0,0.0003
7030,8440 PR ARAND GR INJ P/2 LAMP SAN DIEGO,32,2.6666666666666665,14.0,1,14,13.15151515151515,13,3.6265017787828464,12,2.0,1.0,2.0,0.0035
7032,8441 MR/LL ARAND PQ INJ P/1LAM SAN DIEGO,5,5.0,,5,5,,0,,1,5.0,5.0,5.0,0.0003
7033,8441 PR/LL ARAND PQ INJ P/1LAM SAN DIEGO,8,2.6666666666666665,4.0,2,3,0.33333333333333326,1,0.5773502691896257,3,3.0,2.5,3.0,0.0009
7034,8441 BR/LL ARAND PQ INJ P/1LAM SAN DIEGO,13,6.5,21.0,3,10,24.5,7,4.949747468305833,2,6.5,4.75,8.25,0.0006
7189,8267/2 PR/CO SPOT EM AL P/2 LAMP,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0006
740,8280 BR PENDENTE INJ EM TEMOPLAS,3,1.5,4.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0006
7919,8394 PR/LC ARANDELA INJ P/1 LAMP SACO PL,30,4.285714285714286,12.0,1,9,7.23809523809524,8,2.6903708365381975,7,4.0,2.5,5.5,0.002
7921,8395 BR/LC ARANDELA INJ P/1 LAMP SACO PL,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
8449,8423/3 BR/BR SPOT AL DELAWARE P/3 LAMP,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
8727,8551 PR BAL. INJ.C/GLOBO 25CM PVC BOC 10,18,9.0,22.0,6,12,18.0,6,4.242640687119285,2,9.0,7.5,10.5,0.0006
8759,8567 PR ARAND. INJ. C/GLOBO PVC  BOCA 10,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9425,8442 PR ARAND GR INJ P/2L E27 40CM-SACO,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
9430,8443 PR/LL ARAND PQ INJ P/1L E27 25CM,14,7.0,20.0,4,10,18.0,6,4.242640687119285,2,7.0,5.5,8.5,0.0006
9439,8337 PR PENDENTE INJ P/1 LAMP E27-SACO,227,4.54,17.0,1,25,17.23306122448979,24,4.151272241673604,50,3.5,2.0,6.0,0.0145
9440,8337 BR PENDENTE INJ P/ 1 LAMP E27-SACO,10,1.6666666666666667,4.0,1,3,0.6666666666666667,2,0.816496580927726,6,1.5,1.0,2.0,0.0017
9441,8337 MR PENDENTE INJ P/ 1 LAMP E27-SACO,7,7.0,,7,7,,0,,1,7.0,7.0,7.0,0.0003
9444,8338 PR ARANDELA INJ P/ 1 LAMP E27-SACO,754,7.180952380952381,28.0,1,35,50.01501831501829,34,7.0721296873727,105,5.0,2.0,9.0,0.0305
9445,8338 BR ARANDELA INJ P/ 1 LAMP E27-SACO,68,3.7777777777777777,15.0,1,17,13.830065359477123,16,3.718879583890439,18,3.0,2.0,4.0,0.0052
9446,8338 MR ARANDELA INJ P/ 1 LAMP E27-SACO,54,7.714285714285714,22.0,2,14,21.57142857142857,12,4.644505202002531,7,6.0,4.5,11.5,0.002
9447,8338 CO ARANDELA INJ P/ 1 LAMP E27-SACO,13,13.0,,13,13,,0,,1,13.0,13.0,13.0,0.0003
9449,8427 PR PENDENTE INJ P/ 1 LAMP E27-SACO,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
