codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_18_emb,qtd_21_emb,qtd_24_emb,qtd_25_emb
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,7,3.5,7.0,2,5,4.5,3,2.1213203435596424,2,3.5,2.75,4.25,0.0018,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,9,1.8,4.0,1,4,1.7,3,1.3038404810405297,5,1.0,1.0,2.0,0.0044,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086,81034 CO PLAFON EM ALUMINIO P/2 E27,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10113,81040 ARANDELA INJ PRETA 15CM LC/ABERTA,4,2.0,4.0,1,3,2.0,2,1.4142135623730951,2,2.0,1.5,2.5,0.0018,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10114,81040 ARANDELA INJ BRANCA 15CM LC/ABERTA,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,5,2.5,6.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0018,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,14,1.75,4.0,1,6,3.0714285714285716,5,1.7525491637693282,8,1.0,1.0,1.25,0.0071,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10360,81050 PR ARANDELA EM ALUMINIO CUPULA,8,1.6,2.0,1,2,0.3,1,0.5477225575051661,5,2.0,1.0,2.0,0.0044,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10405,81053 BR ARANDELA EM ALUMINIO 1 LAMP,37,2.176470588235294,4.0,1,6,1.5294117647058825,5,1.2366938848016846,17,2.0,2.0,2.0,0.0151,0.3333,0.619,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10406,81053 PR ARANDELA EM ALUMINIO 1 LAMP,3,1.5,3.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0018,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10457,81060 DOURADO ARANDELA AL CUPULA CRU NAT,64,4.571428571428571,10.0,1,12,14.263736263736263,11,3.776736191970027,14,2.0,2.0,6.0,0.0124,0.2222,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10458,81061 DOURADO ARANDELA AL CUPULA PRETA,15,2.5,6.0,1,6,4.3,5,2.073644135332772,6,1.5,1.0,3.5,0.0053,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10465,81065 DOURADO ARANDELA AL CUPULA PRETA,7,7.0,,7,7,,0,,1,7.0,7.0,7.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10475,81064 DOURADO ARANDELA AL CUPULA CRU NAT,21,2.625,5.0,1,5,2.267857142857143,4,1.5059406173077154,8,2.0,1.75,4.0,0.0071,0.3846,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,19,3.8,11.0,1,12,21.2,11,4.604345773288535,5,2.0,2.0,2.0,0.0044,0.1429,0.5714,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10559,8148 BR POSTE C/TUBO AL P/1 LAMP 1 METRO,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
