codigo;descricao;soma;media;calculo;minimo;maximo;variancia;amplitude;desvio_padrao;frequencia;quantidade_median;quantidade_q1;quantidade_q3;frequencia_relativa;frequencia_acumulada;frequencia_relativa_acumulada
9587;8343 MR ARANDELA INJ P/ 1 LAMP ;3;3;;3;3;;0;;1;3;3;3;0,07%;1337;98,89%
9595;8383 MR ARANDELA INJ P/1 LAMP INF C/PIN;1;1;;1;1;;0;;1;1;1;1;0,07%;1338;98,96%
9596;8384 MR ARANDELA INJ P/1 LAMP SUP C/PIN;10;10;;10;10;;0;;1;10;10;10;0,07%;1339;99,04%
9639;8800 BRANCO ARANDELA INJETADA P/1LAMP G9;4;4;;4;4;;0;;1;4;4;4;0,07%;1340;99,11%
9641;8801 PRETA ARANDELA INJETADA P/1LAMP G9;4;4;;4;4;;0;;1;4;4;4;0,07%;1341;99,19%
9716;8830 BR SPOT DE SOBREPOR QUAD.MR16/GU10;4;4;;4;4;;0;;1;4;4;4;0,07%;1342;99,26%
9717;8830 PR SPOT DE SOBREPOR QUAD.MR16/GU10;1;1;;1;1;;0;;1;1;1;1;0,07%;1343;99,33%
9761;8131 PR ARANDELA C/SUP.INF.P 1 LAMP E27;1;1;;1;1;;0;;1;1;1;1;0,07%;1344;99,41%
9778;8135 PR POSTE P/2 LAMP E27;3;3;;3;3;;0;;1;3;3;3;0,07%;1345;99,48%
9815;8831 MR SPOT DE SOBREPOR RED.MR16/GU10;6;6;;6;6;;0;;1;6;6;6;0,07%;1346;99,56%
9816;8832 MR SPOT DE SOBREPOR QUAD.MR16/GU10;12;12;;12;12;;0;;1;12;12;12;0,07%;1347;99,63%
9820;8140 BR PENDENTE P/1 LAMP E27 LENTE CRIS;1;1;;1;1;;0;;1;1;1;1;0,07%;1348;99,70%
9827;8142 PR ARAN SUP.SUPERIOR LENTE CRISTAL;1;1;;1;1;;0;;1;1;1;1;0,07%;1349;99,78%
9838;8244 MR ARANDELA P/1LAMP E27 LENTE TRANS;2;2;;2;2;;0;;1;2;2;2;0,07%;1350;99,85%
9925;8426 MR BALIZADOR P/JD E MURO P/1 LAMP ;2;2;;2;2;;0;;1;2;2;2;0,07%;1351;99,93%
9940;8151 MR BALIZADOR L/C P/JD E MURO P/1LAM;2;2;;2;2;;0;;1;2;2;2;0,07%;1352;100,00%
