codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,1,1,1,0.2
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,2,4,2,0.4
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,4,4,1,0.2
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,6,6,1,0.2
10614,KIT 8126 PR ARANDELA C/SUP.INF.P/1L,1,1,1,1.0
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,1,1,1,0.2
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,2,4,2,0.4
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,3,3,1,0.2
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,9,9,1,0.2
10679,81090 ARANDELA INJ BRANCA E27 LC/OVAL,5,5,1,1.0
10685,81091 ARAND INJ BRANCA E27 LC / TRIANG,4,4,1,1.0
10686,81091 ARAND INJ MARROM E27 LC / TRIANG,3,3,1,0.5
10686,81091 ARAND INJ MARROM E27 LC / TRIANG,7,7,1,0.5
10688,81093 ARAND INJ BRANCO E27 LL / TRIANG,2,2,1,1.0
10761,"8650/3 BR/BR TRIL. AL P/3 LAM E27 1,5 MT",1,1,1,1.0
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,1,23,23,0.1299
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,2,58,29,0.1638
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,3,42,14,0.0791
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,4,48,12,0.0678
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,5,15,3,0.0169
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,6,48,8,0.0452
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,7,14,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,8,16,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,10,30,3,0.0169
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,14,14,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,15,30,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,17,17,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,20,60,3,0.0169
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,26,26,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,42,42,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,1,12,12,0.0678
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,2,30,15,0.0847
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,3,15,5,0.0282
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,4,32,8,0.0452
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,5,35,7,0.0395
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,6,18,3,0.0169
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,7,7,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,8,16,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,9,18,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,10,20,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,12,48,4,0.0226
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,13,13,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,14,28,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,16,32,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,17,17,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,20,40,2,0.0113
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,23,23,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,24,24,1,0.0056
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM ,120,120,1,0.0056
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,1,5,5,0.3846
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,2,4,2,0.1538
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,3,3,1,0.0769
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,5,5,1,0.0769
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,6,12,2,0.1538
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM ,8,16,2,0.1538
211,8074/1 AL/ PR POSTE AL S/ GLOBO,2,2,1,1.0
213,8075/2 AL/ PR POSTE AL S/ GLOBO,1,1,1,1.0
2235,8292/1 BR/LL PLAFON INJ P/ 1 LAMP RED,1,1,1,1.0
2239,8293/1 BR/LL PLAFON INJ P/ 1 LAMP QUADRA,1,1,1,0.5
2239,8293/1 BR/LL PLAFON INJ P/ 1 LAMP QUADRA,2,2,1,0.5
2247,8297 BR/LC ARANDELA INJ P/1 LAMP ,4,4,1,0.5
2247,8297 BR/LC ARANDELA INJ P/1 LAMP ,20,20,1,0.5
25,8110 PR PENDENTE INJ EM TERMOPLASTICO ,2,4,2,0.6667
25,8110 PR PENDENTE INJ EM TERMOPLASTICO ,5,5,1,0.3333
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,1,1,1,0.0909
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,2,4,2,0.1818
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,3,3,1,0.0909
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,4,4,1,0.0909
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,5,5,1,0.0909
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,8,16,2,0.1818
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,10,30,3,0.2727
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,1,2,2,0.1053
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,2,12,6,0.3158
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,3,9,3,0.1579
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,4,12,3,0.1579
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,5,5,1,0.0526
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,6,6,1,0.0526
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38,8,8,1,0.0526
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38 ,5,5,1,0.0526
266,8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38 ,30,30,1,0.0526
27,8111 PR ARAND INJ TERMO C/SUPORTE INF ,2,6,3,0.4286
27,8111 PR ARAND INJ TERMO C/SUPORTE INF ,3,6,2,0.2857
27,8111 PR ARAND INJ TERMO C/SUPORTE INF ,5,5,1,0.1429
27,8111 PR ARAND INJ TERMO C/SUPORTE INF ,6,6,1,0.1429
278,8237 PR ARANDELA INJ P/ 1 LAMP,1,8,8,0.092
278,8237 PR ARANDELA INJ P/ 1 LAMP,2,40,20,0.2299
278,8237 PR ARANDELA INJ P/ 1 LAMP,3,39,13,0.1494
278,8237 PR ARANDELA INJ P/ 1 LAMP,4,48,12,0.1379
278,8237 PR ARANDELA INJ P/ 1 LAMP,5,25,5,0.0575
278,8237 PR ARANDELA INJ P/ 1 LAMP,6,30,5,0.0575
278,8237 PR ARANDELA INJ P/ 1 LAMP,7,14,2,0.023
278,8237 PR ARANDELA INJ P/ 1 LAMP,8,40,5,0.0575
278,8237 PR ARANDELA INJ P/ 1 LAMP,9,63,7,0.0805
278,8237 PR ARANDELA INJ P/ 1 LAMP,10,10,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,11,22,2,0.023
278,8237 PR ARANDELA INJ P/ 1 LAMP,13,13,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,16,16,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,17,17,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,20,20,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,23,23,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,28,28,1,0.0115
278,8237 PR ARANDELA INJ P/ 1 LAMP,29,29,1,0.0115
279,8237 BR ARANDELA INJ P/ 1 LAMP,1,2,2,0.0741
279,8237 BR ARANDELA INJ P/ 1 LAMP,2,18,9,0.3333
279,8237 BR ARANDELA INJ P/ 1 LAMP,3,18,6,0.2222
279,8237 BR ARANDELA INJ P/ 1 LAMP,4,16,4,0.1481
279,8237 BR ARANDELA INJ P/ 1 LAMP,5,10,2,0.0741
279,8237 BR ARANDELA INJ P/ 1 LAMP,6,12,2,0.0741
279,8237 BR ARANDELA INJ P/ 1 LAMP,8,8,1,0.037
279,8237 BR ARANDELA INJ P/ 1 LAMP,25,25,1,0.037
28,8111 BR ARAND INJ TERMO C/SUPORTE INF ,1,1,1,1.0
2868,8293/2 BR/LL PLAFON INJ P/2 LAMP QUAD,1,1,1,1.0
29,8112 PR ARAND INJ TERMO C/SUPORTE SUP ,1,1,1,0.5
29,8112 PR ARAND INJ TERMO C/SUPORTE SUP ,2,2,1,0.5
2900,8105/2 PR SPOT INJ L. TEXAS P/2 LAMPADA,1,1,1,0.5
2900,8105/2 PR SPOT INJ L. TEXAS P/2 LAMPADA,4,4,1,0.5
2913,8292/2 BR/LL PLAFON INJ P/ 2 LAMP RED,2,2,1,1.0
31,8116 PR POSTE C/TUBO AL P/1 LAMP INJ TER,2,28,14,0.7
31,8116 PR POSTE C/TUBO AL P/1 LAMP INJ TER,4,24,6,0.3
32,8116 BR POSTE C/TUBO AL P/1 LAMP INJ TER,2,2,1,1.0
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,1,130,130,0.471
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,2,214,107,0.3877
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,3,33,11,0.0399
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,4,40,10,0.0362
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,5,15,3,0.0109
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,6,18,3,0.0109
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,8,32,4,0.0145
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,9,18,2,0.0072
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,10,30,3,0.0109
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,11,11,1,0.0036
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,19,19,1,0.0036
33,8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER,22,22,1,0.0036
3393,8239 BR TART.INJ P/1L C/ GRADE SEM FIO,9,9,1,0.5
3393,8239 BR TART.INJ P/1L C/ GRADE SEM FIO ,2,2,1,0.5
34,8117 BR POSTE C/TUBO AL P/2 LAMP INJ TER,1,14,14,0.6364
34,8117 BR POSTE C/TUBO AL P/2 LAMP INJ TER,2,16,8,0.3636
37,8113 PR PENDENTE INJ EM TERMOPLASTICO,1,1,1,0.0213
37,8113 PR PENDENTE INJ EM TERMOPLASTICO,4,4,1,0.0213
37,8113 PR PENDENTE INJ EM TERMOPLASTICO,10,10,1,0.0213
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,1,11,11,0.234
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,2,16,8,0.1702
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,3,33,11,0.234
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,4,20,5,0.1064
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,5,10,2,0.0426
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,6,18,3,0.0638
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,10,10,1,0.0213
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,14,28,2,0.0426
37,8113 PR PENDENTE INJ EM TERMOPLASTICO ,24,24,1,0.0213
38,8113 BR PENDENTE INJ EM TERMOPLASTICO ,1,3,3,0.5
